,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
131,Faanui,20,PF,1536220054,100,-16.48,-151.75,77.27,14.23
132,Barrow,0,AR,1536220054,71,-38.31,-60.23,57.38,9.53
133,Saskylakh,80,RU,1536220055,75,71.97,114.09,36.32,22.39
134,Asyut,0,EG,1536220055,41,27.18,31.19,94.37,9.75
135,Nordfjordeid,75,NO,1536218400,87,61.91,5.99,53.6,2.24
136,Stillwater,90,US,1536218220,97,36.12,-97.06,73.22,3.94
137,Souillac,92,FR,1536217200,93,45.6,-0.6,64.4,5.82
138,Benidorm,20,ES,1536217200,61,38.54,-0.13,78.8,2.24
139,Plerin,20,FR,1536217200,93,48.54,-2.78,62.6,4.7
140,Atar,0,MR,1536220058,43,20.52,-13.05,89.33,4.16
141,Iqaluit,5,CA,1536217200,86,63.75,-68.52,37.4,8.05
142,Isangel,68,VU,1536220059,100,-19.55,169.27,72.68,21.5
143,Vardo,1,US,1536218100,81,39.62,-77.74,77.0,5.82
144,Tuktoyaktuk,76,CA,1536220059,86,69.44,-133.03,45.59,15.35
145,Guerrero Negro,0,MX,1536220060,97,27.97,-114.04,67.64,10.42
146,Xining,44,CN,1536220060,64,36.62,101.77,55.76,7.63
147,Murray Bridge,56,AU,1536220060,77,-35.12,139.28,53.78,15.12
148,Salalah,75,OM,1536216600,88,17.01,54.1,78.8,9.17
149,Kaitangata,0,NZ,1536220061,74,-46.28,169.85,41.27,13.78
150,Noumea,0,NC,1536219000,72,-22.28,166.46,66.2,14.99
151,Port Blair,0,IN,1536220063,95,11.67,92.75,83.84,16.46
152,Mallapuram,36,IN,1536220063,48,11.97,78.27,91.4,8.08
153,Kodiak,90,US,1536216780,100,39.95,-94.76,69.08,11.41
154,Guozhen,92,CN,1536220064,100,29.3,113.14,73.76,5.73
155,Akdepe,0,TM,1536217200,22,42.05,59.39,80.6,11.41
156,Pevek,76,RU,1536220064,76,69.7,170.27,49.91,11.65
157,Kavaratti,24,IN,1536220065,100,10.57,72.64,81.41,14.23
158,Ingleside,75,CA,1536218100,78,45.0,-74.99,78.98,8.05
159,Ixtapa,75,MX,1536216240,100,20.71,-105.21,80.6,4.7
160,Thompson,40,CA,1536217200,75,55.74,-97.86,42.8,5.82
161,Lamar,90,US,1536216780,90,38.09,-102.62,62.96,3.83
162,Geraldton,5,CA,1536217200,75,49.72,-86.95,42.8,3.36
163,Alyangula,0,AU,1536220067,84,-13.85,136.42,79.7,14.0
164,Birao,0,CF,1536220068,100,10.3,22.78,83.57,6.29
165,Davila,40,PH,1536217200,70,18.47,120.58,87.8,6.93
166,Khani,0,GE,1536219000,25,41.96,42.96,87.8,28.86
167,Avera,1,US,1536219300,94,33.19,-82.53,78.08,2.59
168,Saint Anthony,1,US,1536216960,54,43.97,-111.68,53.96,9.17
169,Georgetown,24,GY,1536219849,95,6.8,-58.16,75.56,2.59
170,San Luis,0,AR,1536219932,62,-33.3,-66.34,51.35,7.52
171,Lompoc,1,US,1536219300,87,34.64,-120.46,64.04,3.38
